name,O,OH,U_param,spin,oxidation_states_A,oxidation_states_B,electronegativity_A,electronegativity_B,Tolerance_factor,Octahedral_factor,ionic_ration_AO,ionic_ration_BO,Diff_A_O,Diff_B_O,Z_1,atomic_radius_1,mendeleev_no_1,common_oxi_states_1,X_1,thermal_conductivity1,average_ionic_radius1,atomic_orbitals1,V_B_O_sigma,V_B_O_pi
Ca2Ru2O6,0.80532601,,0,1,4,3,1,2.2,0.88342336,0.524603175,0.904761905,0.524603175,-2.44,-1.24,17.6,0.98,76.2,-0.2,2.704,64.015948,1.1162,-1.076772,-0.046062567,0.026594236
Rb2Ti2O6,4.70048301,,0,1,2,4,0.82,1.54,0.977783016,0.675925926,1.317460317,0.675925926,-2.62,-1.9,16.6,1.11,72.6,-0.2,2.536,16.015948,1.258333333,-0.7832486,-0.023694947,0.013680284
LaAgIr2O6,1.95815901,,0,1,4,3,1.515,2.2,0.834327804,0.607142857,0.896296296,0.607142857,-1.925,-1.24,30.6,0.985,84.2,-0.2,2.807,74.315948,1.134866667,-0.8974517,-0.040770942,0.023539114
Ca2Ni2O6,4.48621601,0.658206695,6.2,2,4,2,1,1.91,0.848528137,0.587301587,0.904761905,0.587301587,-2.44,-1.53,14.4,0.99,77.2,-0.4,2.646,58.215948,1.132,-0.5932522,-0.015082085,0.008707646
BaNaTi2O6,4.81711401,2.008516695,0,1,3,4,0.91,1.54,0.865605854,0.675925926,1.051587302,0.675925926,-2.53,-1.9,15.9,1.035,73.3,-0.1,2.554,20.215948,1.191333333,-0.7744752,-0.023694947,0.013680284
BaNaMo2O6,-1.46419899,-1.829900305,4.38,1,3,4,0.91,2.16,0.898216722,0.615079365,1.051587302,0.615079365,-2.53,-1.28,19.9,1.045,74.3,-0.1,2.678,43.615948,1.176,-1.1880188,-0.044569724,0.025732342
CaNaMn2O6,3.99301201,0.972477695,3.9,2,3,2,0.965,1.55,0.892992494,0.514550265,0.912698413,0.514550265,-2.475,-1.89,12.9,1,75.3,-0.5,2.567,35.575948,1.115666667,-0.7815256,-0.024220011,0.01398343
LaCaY2O6,4.19112301,,0,1,5,3,1.05,1.22,0.742769558,0.825396825,0.917460317,0.825396825,-2.39,-2.22,20.3,1.095,70.5,-0.1,2.518,24.715948,1.1952,-0.8896064,-0.039929452,0.02305328
CaNaV2O6,0.53539101,-0.162633305,3.25,1,3,5,0.965,1.63,0.836381518,0.617063492,0.912698413,0.617063492,-2.475,-1.81,12.5,0.99,74.1,0.1,2.583,40.215948,1.1415,-0.778492,-0.023622133,0.013638245
Ag2Ag2O6,4.90756601,,0,1,2,1,1.93,1.93,0.707106781,0.862433862,0.862433862,0.862433862,-1.51,-1.51,23.6,1,89,-0.8,2.836,172.015948,1.190666667,-1.8120532,-0.016382557,0.009458474
Rb2Ag2O6,4.48156601,,0,1,2,1,0.82,1.93,0.879865824,0.862433862,1.317460317,0.862433862,-2.62,-1.51,21.6,1.15,76.6,-0.8,2.614,97.615948,1.305333333,-1.3944454,-0.016382557,0.009458474
K2Os2O6,0.84879801,-0.178101305,0,1,2,4,0.82,2.2,1.016946121,0.534126984,1.206349206,0.534126984,-2.62,-1.24,23.8,1.06,75.2,-0.2,2.668,37.615948,1.1946,-0.578878,-0.052177822,0.03012488
Ag2Ta2O6,1.43944001,,0,1,2,5,1.93,1.5,0.797761497,0.650793651,0.862433862,0.650793651,-1.51,-1.94,28.8,0.97,85.2,0,2.75,97.415948,1.137333333,-1.202398,-0.048716239,0.028126334
Rb2Ir2O6,2.93298801,1.580113695,0,1,2,3,0.82,2.2,1.019630519,0.607142857,1.317460317,0.607142857,-2.62,-1.24,27.6,1.1,75.6,-0.4,2.668,41.615948,1.241,-0.7889296,-0.040770942,0.023539114
BaScNb2O6,-1.71142899,-1.318871305,0,1,5,5,1.125,1.6,0.832040311,0.650793651,0.942460317,0.650793651,-2.315,-1.84,20.7,1.025,74.5,0.3,2.609,14.215948,1.1575,-0.9577003,-0.045979948,0.026546535
LaCaTi2O6,-0.89892499,-1.736889305,0,1,5,4,1.05,1.54,0.809014988,0.675925926,0.917460317,0.675925926,-2.39,-1.9,16.9,1.015,75.7,0.1,2.582,25.715948,1.157533333,-0.5836028,-0.023694947,0.013680284
BaBiNb2O6,-1.97718099,-2.497586305,0,1,5,5,1.455,1.6,0.85753695,0.650793651,1.001984127,0.650793651,-1.985,-1.84,26.9,1.025,81.3,0.3,2.675,13.415948,1.1725,-0.9846654,-0.045979948,0.026546535
Ba2In2O6,5.25416301,,0,1,4,3,0.89,1.78,0.883883476,0.746031746,1.182539683,0.746031746,-2.55,-1.66,25.8,1.1,79.2,-0.2,2.598,20.015948,1.242,-1.3591384,0.024984978,-0.012492489
Rb2Pt2O6,3.61720901,,0,1,2,2,0.82,2.28,0.999879807,0.638888889,1.317460317,0.638888889,-2.62,-1.16,27.8,1.1,76,-0.6,2.684,26.015948,1.249,-0.782089,-0.036128856,0.020859005
Rb2Os2O6,0.89204001,-0.133133305,0,1,2,4,0.82,2.2,1.068159235,0.534126984,1.317460317,0.534126984,-2.62,-1.24,27.4,1.09,75,-0.2,2.668,29.215948,1.2226,-0.7881252,-0.052177822,0.03012488
BaRbNb2O6,-1.06490699,-0.983517305,0,1,3,5,0.855,1.6,0.963772945,0.650793651,1.25,0.650793651,-2.585,-1.84,22.3,1.1,73.5,0.1,2.555,18.415948,1.235,-1.0555576,-0.045979948,0.026546535
BaAgMo2O6,-1.72215899,-2.005286305,4.38,1,3,4,1.41,2.16,0.885476059,0.615079365,1.022486772,0.615079365,-2.03,-1.28,23.5,1.025,80.3,-0.1,2.778,72.615948,1.168666667,-1.3039877,-0.044569724,0.025732342
LaRbIr2O6,2.46376801,-0.544807305,0,1,4,3,0.96,2.2,0.934428517,0.607142857,1.123809524,0.607142857,-2.48,-1.24,29.6,1.06,78,-0.2,2.696,37.115948,1.1922,-0.6886478,-0.040770942,0.023539114
Ba2Ta2O6,-2.41747999,-1.952064305,0,1,4,5,0.89,1.5,0.934876754,0.650793651,1.182539683,0.650793651,-2.55,-1.94,30.6,1.08,73.8,0.2,2.542,15.015948,1.218,-0.5815734,-0.048716239,0.028126334
Rb2Sc2O6,5.54159201,,0,1,2,3,0.82,1.36,0.962588252,0.702380952,1.317460317,0.702380952,-2.62,-2.08,16.4,1.15,66.2,-0.4,2.5,14.815948,1.265,-0.781123,-0.026422852,0.01525524
Ca2Ge2O6,3.97097501,-0.127089305,0,1,4,-4,1,2.01,0.835988313,0.611111111,0.904761905,0.611111111,-2.44,-1.43,15.2,0.97,80.6,-1.6,2.666,52.015948,1.138,-0.636404,0.027657296,-0.013828648
Rb2Tl2O6,5.40520601,,0,1,2,1,0.82,1.62,0.79643271,1.057539683,1.317460317,1.057539683,-2.62,-1.82,28.4,1.21,78,-0.8,2.552,20.815948,1.3545,-0.8068314,0.015625586,-0.007812793
BaBiTi2O6,-1.15341499,-1.419856305,0,1,5,4,1.455,1.54,0.84467728,0.675925926,1.001984127,0.675925926,-1.985,-1.9,23.1,1.015,80.9,0.1,2.663,7.015948,1.178833333,-0.610748,-0.023694947,0.013680284
Ba2Cu2O6,4.26392901,,0,1,4,2,0.89,1.9,0.934876754,0.650793651,1.182539683,0.650793651,-2.55,-1.54,21.8,1.06,77.8,-0.4,2.622,83.615948,1.218,-0.5810218,-0.012155645,0.007018065
Ba2La2O6,4.60019401,0.741723695,0,1,4,3,0.89,1.1,0.799565645,0.93015873,1.182539683,0.93015873,-2.55,-2.34,27.4,1.18,70,-0.2,2.462,6.215948,1.2884,-0.5730572,-0.043291117,0.024994138
Na2Ge2O6,4.66403301,1.630927695,0,1,2,-4,0.93,2.01,0.842954882,0.611111111,0.920634921,0.611111111,-2.51,-1.43,13.4,0.97,79.6,-1.8,2.652,40.015948,1.142,-1.020802,0.027657296,-0.013828648
BaPbNb2O6,-1.65558899,-1.269433305,0,1,4,5,1.61,1.6,0.872409989,0.650793651,1.036706349,0.650793651,-1.83,-1.84,26.8,1.045,80.8,0.2,2.706,16.115948,1.18125,-0.9777712,-0.045979948,0.026546535
LaBaSc2O6,5.22834401,1.415933695,0,1,5,3,0.995,1.36,0.854132247,0.702380952,1.056349206,0.702380952,-2.445,-2.08,20.3,1.09,69.1,-0.1,2.535,6.315948,1.1992,-0.5792328,-0.026422852,0.01525524
Sr2Y2O6,4.87513801,0.472066695,0,1,4,3,0.95,1.22,0.793189346,0.825396825,1.047619048,0.825396825,-2.49,-2.22,20.2,1.12,68.6,-0.2,2.498,10.415948,1.228,-1.1533054,-0.039929452,0.02305328
BaPbCu2O6,4.88800301,0.390221695,0,1,4,2,1.61,1.9,0.872409989,0.650793651,1.036706349,0.650793651,-1.83,-1.54,24.4,1.025,84.6,-0.4,2.766,85.315948,1.18125,-0.6048438,-0.012155645,0.007018065
LaLiNb2O6,-1.52444299,,0,1,4,5,1.04,1.6,0.780537101,0.650793651,0.822222222,0.650793651,-2.4,-1.84,19,0.99,75.7,0.2,2.592,20.615948,1.1272,-0.9539331,-0.045979948,0.026546535
Pb2Rh2O6,1.93264401,,0,1,4,3,2.33,2.28,0.840240352,0.591269841,0.890873016,0.591269841,-1.11,-1.16,30.2,0.99,90,-0.2,2.986,37.015948,1.1295,-1.1593556,-0.03567009,0.020594136
Ca2Pt2O6,3.06661101,,0,1,4,2,1,2.28,0.821819019,0.638888889,0.904761905,0.638888889,-2.44,-1.16,24.4,0.99,77.4,-0.4,2.72,54.415948,1.145,-0.583361,-0.036128856,0.020859005
BaCaY2O6,4.94288001,0.487395695,0,1,4,3,0.945,1.22,0.791652157,0.825396825,1.043650794,0.825396825,-2.495,-2.22,20.2,1.115,68.6,-0.2,2.497,25.215948,1.227,-0.8882798,-0.039929452,0.02305328
BaTlSc2O6,5.43469001,,0,1,3,3,1.255,1.36,0.880586941,0.702380952,1.120039683,0.702380952,-2.185,-2.08,22.7,1.085,73.6,-0.3,2.587,9.615948,1.21525,-0.5945115,-0.026422852,0.01525524
LaTlCu2O6,4.88300901,0.363146695,0,1,4,2,1.36,1.9,0.854052409,0.650793651,0.993849206,0.650793651,-2.08,-1.54,24.4,1.015,86.1,-0.4,2.716,85.915948,1.17045,-0.5989537,-0.012155645,0.007018065
BaBiMo2O6,-2.82471299,,4.38,1,5,4,1.455,2.16,0.876499683,0.615079365,1.001984127,0.615079365,-1.985,-1.28,27.1,1.025,81.9,0.1,2.787,30.415948,1.1635,-1.0242916,-0.044569724,0.025732342
LaPbY2O6,3.95601201,,0,1,5,3,1.715,1.22,0.740079478,0.825396825,0.910515873,0.825396825,-1.725,-2.22,26.5,1.095,77.1,-0.1,2.651,8.215948,1.19345,-0.911184,-0.039929452,0.02305328
BaScCu2O6,4.98649801,,0,1,5,2,1.125,1.9,0.832040311,0.650793651,0.942460317,0.650793651,-2.315,-1.54,18.3,1.005,78.3,-0.3,2.669,83.415948,1.1575,-0.5847729,-0.012155645,0.007018065
Ag2Cu2O6,4.77270301,,0,1,2,2,1.93,1.9,0.797761497,0.650793651,0.862433862,0.650793651,-1.51,-1.54,20,0.95,89.2,-0.6,2.83,166.015948,1.137333333,-1.2018464,-0.012155645,0.007018065
Ba2Pb2O6,4.64771001,1.583882695,0,1,4,2,0.89,2.33,0.816177817,0.890873016,1.182539683,0.890873016,-2.55,-1.11,32.4,1.15,79.8,-0.4,2.708,10.615948,1.2785,-0.618048,0.019028072,-0.009514036
Ca2Os2O6,1.25627001,-2.687064305,0,1,4,4,1,2.2,0.877939097,0.534126984,0.904761905,0.534126984,-2.44,-1.24,24,0.98,76.4,0,2.704,57.615948,1.1186,-0.5893972,-0.052177822,0.03012488
Ba2Rh2O6,2.15288201,,0,1,4,3,0.89,2.28,0.969847206,0.591269841,1.182539683,0.591269841,-2.55,-1.16,25,1.06,76.4,-0.2,2.698,33.615948,1.203,-1.1117116,-0.03567009,0.020594136
La2Mn2O6,3.34878201,1.160487695,3.9,2,6,2,1.1,1.55,0.901144293,0.514550265,0.93015873,0.514550265,-2.34,-1.89,21.2,1.03,79.2,-0.2,2.594,4.175948,1.120066667,-0.587491,-0.024220011,0.01398343
La2Ti2O6,-1.54348399,-1.422107305,0,1,6,4,1.1,1.54,0.814372703,0.675925926,0.93015873,0.675925926,-2.34,-1.9,20.6,1.03,77.4,0.2,2.592,7.015948,1.160733333,-0.582685,-0.023694947,0.013680284
Li2Cu2O6,4.33203101,,0,1,2,2,0.98,1.9,0.734303196,0.650793651,0.714285714,0.650793651,-2.46,-1.54,11.2,0.92,77.4,-0.6,2.64,97.015948,1.1,-0.5783364,-0.012155645,0.007018065
LaPbCu2O6,4.85636401,0.243204695,0,1,5,2,1.715,1.9,0.818357115,0.650793651,0.910515873,0.650793651,-1.725,-1.54,24.5,1.005,86.5,-0.3,2.787,84.815948,1.14945,-0.6061704,-0.012155645,0.007018065
LaScCu2O6,4.87067001,0.402324695,0,1,6,2,1.23,1.9,0.777987437,0.650793651,0.816269841,0.650793651,-2.21,-1.54,18.4,0.985,80.2,-0.2,2.69,82.915948,1.1257,-0.5860995,-0.012155645,0.007018065
LaBiSc2O6,4.14310201,,0,1,6,3,1.56,1.36,0.779136073,0.702380952,0.875793651,0.702380952,-1.88,-2.08,23,1.035,76.4,0,2.648,5.315948,1.1537,-0.609949,-0.026422852,0.01525524
BaCaTi2O6,3.94115401,1.162966695,0,1,4,4,0.945,1.54,0.862257283,0.675925926,1.043650794,0.675925926,-2.495,-1.9,16.8,1.035,73.8,0,2.561,26.215948,1.189333333,-0.5822762,-0.023694947,0.013680284
LaBiCu2O6,4.82509201,,0,1,6,2,1.56,1.9,0.803484076,0.650793651,0.875793651,0.650793651,-1.88,-1.54,24.6,0.985,87,-0.2,2.756,82.115948,1.1407,-0.6130646,-0.012155645,0.007018065
K2Mo2O6,-0.58789099,-63.34430431,4.38,1,2,4,0.82,2.16,0.965973883,0.615079365,1.206349206,0.615079365,-2.62,-1.28,17,1.09,73.8,-0.2,2.66,47.815948,1.215,-0.987545,-0.044569724,0.025732342
LaTlNi2O6,4.24990301,0.231928695,6.2,2,4,2,1.36,1.91,0.888214506,0.587301587,0.993849206,0.587301587,-2.08,-1.53,24.2,1.015,85.1,-0.4,2.718,24.115948,1.15445,-0.6066953,-0.015082085,0.008707646
LaCaMn2O6,3.66399601,,3.9,2,5,2,1.05,1.55,0.895215712,0.514550265,0.917460317,0.514550265,-2.39,-1.89,17.5,1.015,77.5,-0.3,2.584,22.875948,1.116866667,-0.5884088,-0.024220011,0.01398343
Ba2Os2O6,0.25521601,,0,1,4,4,0.89,2.2,1.005971882,0.534126984,1.182539683,0.534126984,-2.55,-1.24,31.2,1.05,76,0,2.682,21.215948,1.1886,-0.5849084,-0.052177822,0.03012488
BaBiCu2O6,4.88113901,2.065174695,0,1,5,2,1.455,1.9,0.85753695,0.650793651,1.001984127,0.650793651,-1.985,-1.54,24.5,1.005,85.1,-0.3,2.735,82.615948,1.1725,-0.611738,-0.012155645,0.007018065
K2Ta2O6,1.59760301,-0.250439305,0,1,2,5,0.82,1.5,0.945075409,0.650793651,1.206349206,0.650793651,-2.62,-1.94,23.2,1.09,73,0,2.528,31.415948,1.224,-0.575543,-0.048716239,0.028126334
Na2Cu2O6,5.07751901,,0,1,2,2,0.93,1.9,0.822691543,0.650793651,0.920634921,0.650793651,-2.51,-1.54,12.8,0.99,77.2,-0.6,2.63,108.015948,1.152,-0.9699086,-0.012155645,0.007018065
BaLiSc2O6,5.45976701,,0,1,3,3,0.935,1.36,0.80929937,0.702380952,0.948412698,0.702380952,-2.505,-2.08,14.9,1.04,67,-0.3,2.523,13.515948,1.172,-0.5765635,-0.026422852,0.01525524
SrRbNi2O6,3.19483301,0.029813695,6.2,2,3,2,0.885,1.91,0.972271824,0.587301587,1.182539683,0.587301587,-2.555,-1.53,17.9,1.065,76.4,-0.5,2.623,27.515948,1.202,-0.8240068,-0.015082085,0.008707646
BaSnTi2O6,2.46231801,-0.019358305,0,1,-2,4,1.425,1.54,0.810354417,0.675925926,0.920634921,0.675925926,-2.015,-1.9,19.8,1,80.5,-0.6,2.657,12.915948,1.158333333,-1.0227686,-0.023694947,0.013680284
CaSrV2O6,0.07628401,-0.084885305,3.25,1,4,5,0.975,1.63,0.86414522,0.617063492,0.976190476,0.617063492,-2.465,-1.81,15.2,1.01,74.5,0.2,2.585,29.715948,1.1575,-0.7176836,-0.023622133,0.013638245
LaTlTi2O6,1.99627801,-0.145585305,0,1,4,4,1.36,1.54,0.841244993,0.675925926,0.993849206,0.675925926,-2.08,-1.9,23,1.025,81.9,0,2.644,10.315948,1.176783333,-0.5979637,-0.023694947,0.013680284
BaScTi2O6,-0.69465599,-1.867875305,0,1,5,4,1.125,1.54,0.81956299,0.675925926,0.942460317,0.675925926,-2.315,-1.9,16.9,1.015,74.1,0.1,2.597,7.815948,1.163833333,-0.5837829,-0.023694947,0.013680284
LaBaNb2O6,-1.86926699,-1.454823305,0,1,5,5,0.995,1.6,0.88082388,0.650793651,1.056349206,0.650793651,-2.445,-1.84,24.3,1.06,75.9,0.3,2.583,13.915948,1.1862,-0.9552758,-0.045979948,0.026546535
BaSrCu2O6,4.66251801,,0,1,4,2,0.92,1.9,0.905980563,0.650793651,1.115079365,0.650793651,-2.52,-1.54,20,1.045,77.9,-0.4,2.628,85.315948,1.201,-0.7146568,-0.012155645,0.007018065
Ba2Au2O6,4.77874101,2.194027695,0,1,4,3,0.89,2.54,0.834568089,0.849206349,1.182539683,0.849206349,-2.55,-0.9,31.8,1.06,77.4,-0.2,2.75,67.615948,1.268,-0.5790774,-0.021083525,0.012172579
Sr2Rh2O6,2.06230101,-1.251017305,0,1,4,3,0.95,2.28,0.909893015,0.591269841,1.047619048,0.591269841,-2.49,-1.16,21.4,1.03,76.6,-0.2,2.71,37.015948,1.169,-1.3789816,-0.03567009,0.020594136
Tl2Os2O6,0.75042801,-0.196812305,0,1,2,4,1.62,2.2,0.948357129,0.534126984,1.057539683,0.534126984,-1.82,-1.24,36.2,1,88.8,-0.2,2.828,26.815948,1.1571,-0.618119,-0.052177822,0.03012488
SrNaMn2O6,4.42601701,1.601808695,3.9,2,3,2,0.94,1.55,0.926340761,0.514550265,0.984126984,0.514550265,-2.5,-1.89,14.7,1.02,75.2,-0.5,2.562,19.075948,1.133666667,-0.9129162,-0.024220011,0.01398343
BaAgY2O6,5.71376901,,0,1,3,3,1.41,1.22,0.783453818,0.825396825,1.022486772,0.825396825,-2.03,-2.22,22.9,1.095,74.1,-0.3,2.59,48.215948,1.221666667,-1.1964477,-0.039929452,0.02305328
LaRbNb2O6,-1.44228599,,0,1,4,5,0.96,1.6,0.90972007,0.650793651,1.123809524,0.650793651,-2.48,-1.84,22.4,1.08,75.4,0.2,2.576,17.915948,1.2032,-1.0568842,-0.045979948,0.026546535
Rb2Ta2O6,1.54905601,-0.178634305,0,1,2,5,0.82,1.5,0.992669135,0.650793651,1.317460317,0.650793651,-2.62,-1.94,26.8,1.12,72.8,0,2.528,23.015948,1.252,-0.7847902,-0.048716239,0.028126334
LaSrCu2O6,4.87023501,2.048419695,0,1,5,2,1.025,1.9,0.851927689,0.650793651,0.988888889,0.650793651,-2.415,-1.54,20.1,1.025,79.8,-0.3,2.649,84.815948,1.1692,-0.7159834,-0.012155645,0.007018065
LaScV2O6,-0.95513899,-2.699076305,3.25,1,6,5,1.23,1.63,0.794215396,0.617063492,0.816269841,0.617063492,-2.21,-1.81,17.2,0.985,76.6,0.4,2.636,9.115948,1.1172,-0.5868819,-0.023622133,0.013638245
BaAgTi2O6,3.71837401,,0,1,3,4,1.41,1.54,0.853327757,0.675925926,1.022486772,0.675925926,-2.03,-1.9,19.5,1.015,79.3,-0.1,2.654,49.215948,1.184,-0.8904441,-0.023694947,0.013680284
La2Nb2O6,-2.41106099,-1.694749305,0,1,6,5,1.1,1.6,0.826771006,0.650793651,0.93015873,0.650793651,-2.34,-1.84,24.4,1.04,77.8,0.4,2.604,13.415948,1.1544,-0.9566024,-0.045979948,0.026546535
La2Co2O6,3.46221601,0.742526695,3.32,2,6,2,1.1,1.88,0.847830908,0.60978836,0.93015873,0.60978836,-2.34,-1.56,21.6,1.02,80,-0.2,2.66,22.615948,1.144066667,-0.5901632,-0.015540806,0.008972489
La2V2O6,-1.14098499,-1.169554305,3.25,1,6,5,1.1,1.63,0.844016536,0.617063492,0.93015873,0.617063492,-2.34,-1.81,20.8,1.02,78,0.4,2.61,8.815948,1.1459,-0.5844574,-0.023622133,0.013638245
BaSrMo2O6,-2.57480099,-3.345250305,4.38,1,4,4,0.92,2.16,0.926014532,0.615079365,1.115079365,0.615079365,-2.52,-1.28,22.6,1.065,74.7,0,2.68,33.115948,1.192,-1.1272104,-0.044569724,0.025732342
Li2Ag2O6,4.97437601,,0,1,2,1,0.98,1.93,0.650859651,0.862433862,0.714285714,0.862433862,-2.46,-1.51,14.8,0.97,77.2,-0.8,2.646,103.015948,1.153333333,-1.1885432,-0.016382557,0.009458474
BaSrNb2O6,-1.50791799,-1.243605305,0,1,4,5,0.92,1.6,0.905980563,0.650793651,1.115079365,0.650793651,-2.52,-1.84,22.4,1.065,74.1,0.2,2.568,16.115948,1.201,-1.0875842,-0.045979948,0.026546535
LaRbY2O6,5.03170401,-0.370773305,0,1,4,3,0.96,1.22,0.822703368,0.825396825,1.123809524,0.825396825,-2.48,-2.22,22,1.15,69.8,-0.2,2.5,10.515948,1.2472,-0.9889704,-0.039929452,0.02305328
Rb2Cd2O6,5.36252001,,0,1,2,2,0.82,1.69,0.878617788,0.865079365,1.317460317,0.865079365,-2.62,-1.75,21.8,1.14,77.4,-0.6,2.566,31.015948,1.306,-1.4690412,-0.014968238,0.008641916
BaRbIr2O6,2.73533601,,0,1,3,3,0.855,2.2,0.989949494,0.607142857,1.25,0.607142857,-2.585,-1.24,29.5,1.08,76.1,-0.3,2.675,37.615948,1.224,-0.6873212,-0.040770942,0.023539114
Ag2Au2O6,4.96550801,,0,1,2,3,1.93,2.54,0.71216477,0.849206349,0.862433862,0.849206349,-1.51,-0.9,30,0.95,88.8,-0.4,2.958,150.015948,1.187333333,-1.199902,-0.021083525,0.012172579
BaAgIr2O6,2.55863001,,0,1,3,3,1.41,2.2,0.889848781,0.607142857,1.022486772,0.607142857,-2.03,-1.24,30.5,1.005,82.3,-0.3,2.786,74.815948,1.166666667,-0.8961251,-0.040770942,0.023539114
